"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)","rain (mm)","raining (s)","SWDR (W/m2)","PAR (mumol/m^2/s)","max. PAR (mumol/m^2/s)","Tlog (degC)","CO2 (ppm)"
01.01.2018 07:00:00,  976.82,    8.50,  283.56,    1.82,   62.72,   11.11,    6.97,    4.14,    4.45,    7.13, 1204.89,    2.55,    4.37,  224.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.41,  410.40
01.01.2018 07:10:00,  976.99,    8.50,  283.54,    1.74,   62.34,   11.11,    6.93,    4.18,    4.42,    7.09, 1205.12,    3.77,    6.75,  229.80,    0.00,    0.00,    0.00,    0.00,    0.00,   18.29,  410.30
01.01.2018 07:20:00,  977.23,    8.48,  283.50,    1.69,   62.21,   11.09,    6.90,    4.19,    4.40,    7.06, 1205.51,    3.19,    6.05,  220.60,    0.00,    0.00,    0.00,    0.00,    0.00,   18.17,  410.60
01.01.2018 07:30:00,  977.48,    8.42,  283.42,    1.68,   62.43,   11.05,    6.90,    4.15,    4.40,    7.06, 1206.08,    2.55,    5.09,  213.30,    0.00,    0.00,    0.00,    0.00,    0.00,   18.05,  411.20
01.01.2018 07:40:00,  977.67,    8.40,  283.38,    1.72,   62.67,   11.03,    6.92,    4.12,    4.41,    7.07, 1206.39,    3.42,    6.73,  212.10,    0.00,    0.00,    0.00,    0.00,    0.00,   17.94,  411.30
01.01.2018 07:50:00,  977.79,    8.34,  283.31,    1.81,   63.34,   10.99,    6.96,    4.03,    4.44,    7.12, 1206.77,    5.16,   10.05,  223.00,    0.00,    0.00,    0.00,    0.00,    0.00,   17.86,  410.70
01.01.2018 08:00:00,  978.02,    7.85,  282.80,    1.46,   63.90,   10.63,    6.79,    3.84,    4.33,    6.94, 1209.24,    5.15,   10.77,  229.30,    0.00,    0.00,    0.00,    0.00,    1.35,   17.79,  410.40
01.01.2018 08:10:00,  978.34,    7.16,  282.08,    1.18,   65.65,   10.14,    6.66,    3.48,    4.24,    6.80, 1212.68,    3.09,    7.85,  226.60,    0.00,    0.00,    0.00,    2.51,    3.47,   17.70,  410.20
01.01.2018 08:20:00,  978.39,    6.76,  281.68,    1.32,   68.13,    9.87,    6.72,    3.14,    4.28,    6.87, 1214.43,    3.38,    8.27,  221.00,    0.00,    0.00,    1.21,    6.18,    9.46,   17.57,  410.20
01.01.2018 08:30:00,  978.39,    6.54,  281.45,    1.39,   69.54,    9.71,    6.75,    2.96,    4.31,    6.90, 1215.39,    1.71,    3.97,  239.00,    0.00,    0.00,    4.83,   14.48,   20.08,   17.42,  410.30
01.01.2018 08:40:00,  978.53,    6.52,  281.42,    1.32,   69.30,    9.70,    6.72,    2.98,    4.28,    6.87, 1215.66,    3.01,    6.09,  209.50,    0.00,    0.00,   12.88,   28.38,   36.49,   17.26,  410.70
01.01.2018 08:50:00,  978.64,    6.35,  281.25,    1.46,   70.80,    9.59,    6.79,    2.80,    4.33,    6.94, 1216.49,    4.08,    7.49,  210.10,    0.00,    0.00,   22.74,   46.33,   59.07,   17.12,  410.40
01.01.2018 09:00:00,  978.74,    6.32,  281.21,    1.61,   71.70,    9.57,    6.86,    2.71,    4.37,    7.01, 1216.72,    2.93,    4.57,  213.00,    0.00,    0.00,   57.14,   85.33,  107.53,   16.98,  410.50
01.01.2018 09:10:00,  978.82,    6.55,  281.43,    1.69,   71.00,    9.72,    6.90,    2.82,    4.40,    7.05, 1215.82,    2.83,    5.57,  225.60,    0.00,    0.00,   72.64,  113.32,  125.29,   16.84,  410.60
01.01.2018 09:20:00,  978.99,    6.63,  281.49,    1.78,   71.10,    9.77,    6.95,    2.82,    4.43,    7.10, 1215.67,    3.94,    8.17,  242.50,    0.00,    0.00,   83.90,  140.15,  168.53,   16.76,  410.50
01.01.2018 09:30:00,  979.19,    6.64,  281.49,    1.89,   71.60,    9.78,    7.00,    2.78,    4.46,    7.15, 1215.83,    2.92,    5.45,  229.20,    0.00,    0.00,  107.44,  181.85,  210.81,   16.72,  410.50
01.01.2018 09:40:00,  979.39,    6.80,  281.63,    2.04,   71.60,    9.89,    7.08,    2.81,    4.51,    7.23, 1215.36,    1.77,    2.78,  207.40,    0.00,    0.00,   96.78,  176.45,  200.19,   16.70,  410.80
01.01.2018 09:50:00,  979.49,    7.05,  281.88,    2.19,   71.10,   10.06,    7.15,    2.91,    4.56,    7.30, 1214.35,    1.28,    2.80,  198.00,    0.00,    0.00,  136.22,  244.21,  294.40,   16.74,  411.10
01.01.2018 10:00:00,  979.57,    7.22,  282.04,    2.23,   70.50,   10.18,    7.18,    3.00,    4.57,    7.33, 1213.70,    2.63,    4.97,  194.80,    0.00,    0.00,  110.26,  200.00,  278.19,   16.84,  410.90
01.01.2018 10:10:00,  979.62,    7.14,  281.96,    2.24,   70.90,   10.12,    7.18,    2.95,    4.57,    7.33, 1214.11,    3.25,    5.93,  205.20,    0.00,    0.00,   65.79,  127.80,  153.28,   17.02,  411.10
01.01.2018 10:20:00,  979.85,    7.07,  281.87,    2.19,   71.00,   10.08,    7.15,    2.92,    4.55,    7.30, 1214.71,    3.71,    6.01,  212.20,    0.00,    0.00,   45.27,   93.24,  113.71,   17.22,  410.80
01.01.2018 10:30:00,  979.95,    7.07,  281.86,    2.21,   71.10,   10.08,    7.16,    2.91,    4.56,    7.31, 1214.83,    4.32,    9.21,  218.00,    0.00,    0.00,   54.53,  112.16,  127.80,   17.37,  410.80
01.01.2018 10:40:00,  979.85,    6.87,  281.66,    2.11,   71.60,    9.94,    7.11,    2.82,    4.53,    7.26, 1215.61,    4.72,    8.85,  215.60,    0.00,    0.00,   76.86,  161.78,  342.66,   17.45,  410.80
01.01.2018 10:50:00,  979.58,    6.76,  281.58,    2.32,   73.20,    9.87,    7.22,    2.64,    4.60,    7.37, 1215.67,    6.75,    9.45,  216.30,    0.00,    0.00,  164.59,  312.93,  387.07,   17.43,  410.80
01.01.2018 11:00:00,  979.53,    6.96,  281.78,    2.47,   73.00,   10.00,    7.30,    2.70,    4.65,    7.45, 1214.74,    5.35,    8.09,  213.20,    0.00,    0.00,  203.42,  377.03,  504.05,   17.33,  410.60
01.01.2018 11:10:00,  979.51,    7.27,  282.10,    2.40,   71.10,   10.22,    7.26,    2.95,    4.63,    7.41, 1213.37,    4.59,    6.65,  210.70,    0.00,    0.00,  163.38,  312.16,  510.42,   17.22,  410.40
01.01.2018 11:20:00,  979.48,    7.55,  282.38,    2.19,   68.70,   10.41,    7.15,    3.26,    4.56,    7.30, 1212.18,    5.55,    8.41,  208.50,    0.00,    0.00,  239.24,  443.82,  589.38,   17.17,  410.40
01.01.2018 11:30:00,  979.36,    7.62,  282.46,    2.00,   67.47,   10.46,    7.06,    3.40,    4.50,    7.21, 1211.77,    7.12,   11.70,  207.60,    0.00,    0.00,  136.02,  266.60,  577.80,   17.18,  410.40
01.01.2018 11:40:00,  979.38,    7.50,  282.34,    1.84,   67.24,   10.38,    6.98,    3.40,    4.44,    7.12, 1212.35,    6.71,   11.56,  208.90,    0.00,    0.00,  108.05,  215.25,  229.54,   17.23,  410.50
01.01.2018 11:50:00,  979.62,    7.44,  282.26,    1.72,   66.96,   10.33,    6.92,    3.41,    4.41,    7.06, 1212.94,    6.84,   11.50,  212.00,    0.00,    0.00,  101.01,  201.54,  248.26,   17.27,  410.20
01.01.2018 12:00:00,  979.62,    7.45,  282.27,    1.81,   67.31,   10.34,    6.96,    3.38,    4.43,    7.11, 1212.87,    5.52,    8.91,  212.10,    0.00,    0.00,  190.54,  364.67,  672.59,   17.25,  410.20
01.01.2018 12:10:00,  979.45,    7.68,  282.51,    1.58,   65.18,   10.51,    6.85,    3.66,    4.36,    6.99, 1211.72,    5.17,    7.05,  209.60,    0.00,    0.00,  128.37,  255.41,  601.93,   17.22,  410.30
01.01.2018 12:20:00,  979.28,    7.69,  282.54,    1.25,   63.60,   10.51,    6.69,    3.83,    4.26,    6.83, 1211.54,    5.18,    9.53,  214.00,    0.00,    0.00,  175.86,  337.45,  635.71,   17.21,  410.20
01.01.2018 12:30:00,  979.14,    7.91,  282.77,    0.87,   60.95,   10.67,    6.50,    4.17,    4.14,    6.64, 1210.51,    5.72,    8.41,  215.20,    0.00,    0.00,  171.03,  326.06,  696.14,   17.22,  410.10
01.01.2018 12:40:00,  979.01,    7.82,  282.69,    0.79,   61.00,   10.61,    6.47,    4.14,    4.12,    6.61, 1210.75,    5.68,    9.73,  207.00,    0.00,    0.00,   98.99,  201.74,  383.59,   17.25,  410.20
01.01.2018 12:50:00,  978.84,    7.81,  282.69,    0.87,   61.39,   10.60,    6.51,    4.09,    4.15,    6.65, 1210.57,    5.82,    8.41,  213.40,    0.00,    0.00,  238.03,  447.10,  596.91,   17.30,  410.10
01.01.2018 13:00:00,  978.77,    8.27,  283.16,    1.17,   60.80,   10.94,    6.65,    4.29,    4.24,    6.79, 1208.43,    5.40,    9.17,  206.40,    0.00,    0.00,  235.01,  441.89,  595.56,   17.35,  410.00
01.01.2018 13:10:00,  978.77,    8.06,  282.95,    1.03,   61.06,   10.78,    6.58,    4.20,    4.19,    6.73, 1209.37,    6.42,    9.37,  208.80,    0.00,    0.00,  172.23,  330.31,  555.60,   17.42,  410.20
01.01.2018 13:20:00,  978.70,    7.87,  282.77,    1.09,   62.12,   10.64,    6.61,    4.03,    4.21,    6.76, 1210.08,    6.37,    9.53,  211.50,    0.00,    0.00,  223.54,  411.58,  592.47,   17.53,  410.00
01.01.2018 13:30:00,  978.62,    8.20,  283.10,    1.33,   61.77,   10.89,    6.72,    4.16,    4.28,    6.87, 1208.51,    5.02,    7.81,  200.90,    0.00,    0.00,  280.28,  509.07,  644.98,   17.63,  410.20
01.01.2018 13:40:00,  978.44,    8.23,  283.15,    1.34,   61.69,   10.91,    6.73,    4.18,    4.29,    6.88, 1208.16,    6.17,    9.57,  211.70,    0.00,    0.00,  283.10,  511.00,  632.62,   17.76,  410.00
01.01.2018 13:50:00,  978.41,    8.35,  283.27,    1.52,   62.02,   11.00,    6.82,    4.18,    4.35,    6.97, 1207.56,    4.23,    7.41,  206.10,    0.00,    0.00,  255.53,  467.18,  516.79,   17.94,  410.10
01.01.2018 14:00:00,  978.33,    8.13,  283.06,    1.32,   62.02,   10.83,    6.72,    4.11,    4.28,    6.87, 1208.46,    4.50,    9.25,  213.80,    0.00,    0.00,  174.65,  333.40,  406.18,   18.16,  409.90
01.01.2018 14:10:00,  978.21,    7.82,  282.76,    1.03,   62.05,   10.61,    6.58,    4.03,    4.20,    6.73, 1209.71,    5.07,    7.47,  212.30,    0.00,    0.00,  162.98,  310.62,  430.31,   18.40,  410.20
01.01.2018 14:20:00,  978.03,    7.87,  282.82,    1.10,   62.15,   10.64,    6.61,    4.03,    4.22,    6.76, 1209.25,    4.52,    6.97,  208.30,    0.00,    0.00,  212.47,  385.52,  453.28,   18.61,  410.10
01.01.2018 14:30:00,  977.79,    8.02,  282.99,    1.17,   61.83,   10.75,    6.65,    4.10,    4.24,    6.80, 1208.29,    5.48,    8.85,  213.70,    0.00,    0.00,  159.36,  295.37,  359.07,   18.77,  409.80
01.01.2018 14:40:00,  977.61,    7.95,  282.94,    1.10,   61.84,   10.70,    6.62,    4.08,    4.22,    6.77, 1208.39,    5.17,    7.97,  216.50,    0.00,    0.00,  111.07,  212.93,  281.27,   18.91,  409.80
01.01.2018 14:50:00,  977.57,    7.64,  282.63,    0.88,   62.14,   10.48,    6.51,    3.97,    4.15,    6.66, 1209.72,    5.48,    7.81,  213.00,    0.00,    0.00,   59.96,  130.31,  260.62,   18.99,  409.90
01.01.2018 15:00:00,  977.53,    7.53,  282.52,    0.71,   61.84,   10.40,    6.43,    3.97,    4.10,    6.58, 1210.18,    4.33,    6.75,  214.70,    0.00,    0.00,   91.35,  171.04,  224.32,   18.97,  409.90
01.01.2018 15:10:00,  977.58,    7.51,  282.50,    0.63,   61.58,   10.38,    6.39,    3.99,    4.08,    6.54, 1210.35,    4.43,    6.41,  213.50,    0.00,    0.00,   94.16,  163.71,  191.31,   18.87,  410.00
01.01.2018 15:20:00,  977.54,    7.45,  282.44,    0.62,   61.78,   10.34,    6.39,    3.95,    4.08,    6.54, 1210.56,    4.71,    7.37,  210.70,    0.00,    0.00,   56.94,  112.74,  160.81,   18.72,  410.20
01.01.2018 15:30:00,  977.56,    7.24,  282.23,    0.53,   62.27,   10.19,    6.35,    3.85,    4.05,    6.49, 1211.51,    5.07,    7.89,  217.50,    0.00,    0.00,   36.02,   79.54,   92.08,   18.58,  410.20
01.01.2018 15:40:00,  977.51,    7.12,  282.11,    0.49,   62.59,   10.11,    6.33,    3.78,    4.04,    6.47, 1211.98,    5.31,    8.05,  209.50,    0.00,    0.00,   16.90,   48.26,   63.32,   18.40,  410.30
01.01.2018 15:50:00,  977.58,    7.03,  282.01,    0.59,   63.44,   10.05,    6.37,    3.67,    4.07,    6.52, 1212.43,    5.10,    8.97,  211.70,    0.00,    0.00,    9.26,   28.38,   34.94,   18.17,  410.30
01.01.2018 16:00:00,  977.49,    6.89,  281.87,    0.81,   65.11,    9.95,    6.48,    3.47,    4.13,    6.63, 1212.90,    6.06,    9.77,  211.50,    0.00,    0.00,    8.65,   27.61,   29.92,   17.91,  410.60
01.01.2018 16:10:00,  977.48,    6.62,  281.61,    0.98,   67.14,    9.77,    6.56,    3.21,    4.18,    6.71, 1214.01,    5.79,    8.01,  212.70,    0.00,    0.00,    4.23,   17.76,   23.55,   17.65,  410.60
01.01.2018 16:20:00,  977.45,    6.39,  281.38,    1.00,   68.30,    9.61,    6.57,    3.05,    4.19,    6.72, 1214.96,    5.50,    8.05,  207.90,    0.00,    0.00,    2.01,   10.04,   12.93,   17.37,  411.10
01.01.2018 16:30:00,  977.32,    6.27,  281.27,    1.01,   68.93,    9.54,    6.57,    2.96,    4.19,    6.73, 1215.29,    5.69,    7.33,  209.10,    0.00,    0.00,    0.00,    3.86,    6.76,   17.08,  411.00
01.01.2018 16:40:00,  977.20,    6.11,  281.12,    1.07,   69.98,    9.43,    6.60,    2.83,    4.21,    6.75, 1215.84,    4.85,    6.93,  213.20,    0.00,    0.00,    0.00,    1.74,    2.51,   16.80,  411.20
01.01.2018 16:50:00,  977.09,    5.83,  280.85,    1.04,   71.20,    9.25,    6.59,    2.66,    4.20,    6.74, 1216.92,    4.22,    5.61,  215.10,    0.00,    0.00,    0.00,    0.00,    1.35,   16.53,  412.00
01.01.2018 17:00:00,  976.91,    5.46,  280.49,    1.03,   73.00,    9.01,    6.58,    2.43,    4.20,    6.74, 1218.32,    4.18,    5.61,  208.60,    0.00,    0.00,    0.00,    0.00,    0.00,   16.29,  412.90
01.01.2018 17:10:00,  976.78,    5.30,  280.34,    1.00,   73.70,    8.91,    6.57,    2.34,    4.19,    6.73, 1218.87,    4.11,    5.13,  209.00,    0.00,    0.00,    0.00,    0.00,    0.00,   16.07,  413.10
01.01.2018 17:20:00,  976.63,    5.20,  280.25,    0.98,   74.10,    8.85,    6.56,    2.29,    4.19,    6.72, 1219.13,    3.33,    4.37,  208.20,    0.00,    0.00,    0.00,    0.00,    0.00,   15.87,  413.10
01.01.2018 17:30:00,  976.65,    5.14,  280.19,    0.95,   74.20,    8.82,    6.54,    2.27,    4.18,    6.70, 1219.40,    3.59,    4.05,  207.60,    0.00,    0.00,    0.00,    0.00,    0.00,   15.70,  412.90
01.01.2018 17:40:00,  976.63,    5.20,  280.24,    0.85,   73.40,    8.85,    6.50,    2.35,    4.15,    6.65, 1219.17,    2.96,    3.55,  209.20,    0.00,    0.00,    0.00,    0.00,    0.00,   15.56,  412.40
01.01.2018 17:50:00,  976.51,    5.21,  280.26,    0.72,   72.70,    8.85,    6.44,    2.42,    4.11,    6.59, 1219.01,    2.71,    3.53,  204.60,    0.00,    0.00,    0.00,    0.00,    0.00,   15.44,  412.60
01.01.2018 18:00:00,  976.43,    5.10,  280.17,    0.62,   72.70,    8.79,    6.39,    2.40,    4.08,    6.55, 1219.38,    1.72,    2.80,  196.40,    0.00,    0.00,    0.00,    0.00,    0.00,   15.34,  413.50
01.01.2018 18:10:00,  976.27,    4.98,  280.05,    0.67,   73.60,    8.71,    6.41,    2.30,    4.10,    6.57, 1219.73,    1.53,    2.38,  186.10,    0.00,    0.00,    0.00,    0.00,    0.00,   15.26,  416.10
01.01.2018 18:20:00,  976.19,    4.89,  279.97,    0.71,   74.30,    8.66,    6.43,    2.23,    4.11,    6.59, 1220.01,    1.53,    2.64,  185.10,    0.00,    0.00,    0.00,    0.00,    0.00,   15.23,  417.30
01.01.2018 18:30:00,  976.03,    4.86,  279.96,    0.69,   74.30,    8.64,    6.42,    2.22,    4.10,    6.58, 1219.92,    1.68,    2.52,  178.00,    0.00,    0.00,    0.00,    0.00,    0.00,   15.24,  417.20
01.01.2018 18:40:00,  975.96,    4.86,  279.96,    0.64,   74.00,    8.64,    6.40,    2.25,    4.09,    6.55, 1219.85,    2.04,    2.92,  185.50,    0.00,    0.00,    0.00,    0.00,    0.00,   15.28,  417.00
01.01.2018 18:50:00,  975.93,    5.18,  280.29,    0.55,   71.90,    8.84,    6.36,    2.48,    4.06,    6.51, 1218.43,    2.25,    2.84,  186.60,    0.00,    0.00,    0.00,    0.00,    0.00,   15.34,  414.30
01.01.2018 19:00:00,  975.78,    5.48,  280.60,    0.52,   70.30,    9.02,    6.34,    2.68,    4.05,    6.50, 1216.96,    2.28,    3.53,  178.70,    0.00,    0.00,    0.00,    0.00,    0.00,   15.40,  414.10
